A,B,Weight
Ahmed_Raza_Khan_Barelvi,Turab-ul-Haq_Qadri,1
Akhtar_Raza_Khan,Arshadul_Qaudri,1
Akhtar_Raza_Khan,Kanthapuram_A._P._Aboobacker_Musalyar,1
Akhtar_Raza_Khan,Maulana_Asjad_Raza_Khan,1
Akhtar_Raza_Khan,Muhammad_Sayyid_Tantawy,1
Alain_Badiou,Alberto_Toscano,1
Alain_Badiou,Bruno_Bosteels,1
Alain_Badiou,Jason_Barker,1
Alain_Badiou,Justin_Clemens,1
Alain_Badiou,Nina_Power,1
Alain_Badiou,Oliver_Feltham,1
Alain_Badiou,Peter_Hallward,1
Alain_Badiou,Quentin_Meillassoux,1
Alain_Badiou,Ray_Brassier,1
Alain_Badiou,Simon_Critchley,1
Alain_Badiou,Slavoj_Žižek,1
Alain_Badiou,Sylvain_Lazarus,1
Al-Akhfash_al-Akbar,Sibawayh,1
Alan_Turing,Hilary_Putnam,1
Alan_Turing,Ned_Block,1
Alan_Turing,Niall_McLaren,1
Alan_Turing,Noam_Chomsky,1
Alasdair_MacIntyre,Alister_McGrath,1
Alasdair_MacIntyre,Postliberal_theology,1
Alberico_Gentili,Hugo_Grotius,1
Albert_and_David_Maysles,Philip_Lindholm,1
Albert_Bray_Kempe,Josiah_Royce,1
Albert_Camus,Charles_Bukowski,1
Albert_Camus,Jacques_Monod,1
Albert_Camus,Jean-Paul_Sartre,1
Albert_Camus,Michael_Walzer,1
Albert_Camus,Mohsin_Hamid,1
Albert_Camus,Orhan_Pamuk,1
Albert_Camus,Paul_Auster,1
Albert_Camus,Ramón_Xirau,1
Albert_Camus,Richard_Wright_(author),1
Albert_Camus,Thomas_Merton,1
Albert_Einstein,Rudolf_Carnap,1
Albert_Jay_Nock,Murray_Rothbard,1
Albert_Lautman,Alain_Badiou,1
Albertus_Magnus_,Meister_Eckhart,1
Albertus_Magnus_,Nicholas_of_Cusa,1
Albertus_Magnus_,Scholasticism,1
Albertus_Magnus_,Thomas_Aquinas,1
Albertus_Magnus,Meister_Eckhart,1
Albertus_Magnus,Nicholas_of_Cusa,1
Al-Dhahabi,Ibn_Kathir,1
Aldous_Huxley,Terence_McKenna,1
Alejandro_Korn,Ángel_Vasallo,1
Alejandro_Korn,Francisco_Romero,1
Alejandro_Korn,Juan_José_Arévalo,1
Alejandro_Korn,Luis_Aznar,1
Alejandro_Korn,Pedro_Henríquez_Ureña,1
Alejandro_Korn,Risieri_Frondizi,1
Alejandro_Llano,Hector_Zagal,1
Alessandro_d'Ancona,Giovanni_Gentile,1
Alexander_Bain,John_Stuart_Mill,1
Alexander_Bain,William_James,1
